GOOGL;Alphabet Inc. Class A Common Stock;NASDAQ
GOOG;Alphabet Inc. Class C Capital Stock;NASDAQ
META;Meta Platforms Inc;NASDAQ
NVDA;NVIDIA Corporation;NASDAQ
AMZN;Amazon.com, Inc. Common Stock;NASDAQ
ORCL;Oracle Corporation;NYSE
JPM;JPMorgan Chase & Co.;NYSE
